Hoje,Amanha
"116.68","114.24"
"114.24","110.44"
"110.44","111.14"
"111.14","107.57"
"107.57","106.03"
"106.03","104.04"
"104.04","103.87"
"103.87","102.4"
"102.4","100.12"
"100.12","97.73"
"97.73","96.87"
"96.87","95.72"
"95.72","96.31"
"96.31","98.1"
"98.1","97.01"
"97.01","95.58"
"95.58","95.32"
"95.32","97.21"
"97.21","98.32"
"98.32","98.76"
"98.76","97.73"
"97.73","95.94"
"95.94","95"
"95","95.19"
"95.19","94.92"
"94.92","97.13"
"97.13","95.31"
"95.31","93.73"
"93.73","93.65"
"93.65","94.51"
"94.51","95.18"
"95.18","93.05"
"93.05","93.34"
"93.34","93.11"
"93.11","89.65"
"89.65","91.01"
"91.01","92.58"
"92.58","91.79"
"91.79","90.14"
"90.14","92.77"
"92.77","91.53"
"91.53","90.03"
"90.03","84.46"
"84.46","84"
"84","87.6"
"87.6","87.16"
"87.16","82.73"
"82.73","79.29"
"79.29","83.12"
"83.12","87.41"
"87.41","87.66"
"87.66","89.6"
"89.6","86.86"
"86.86","87.89"
"87.89","86.22"
"86.22","87.12"
"87.12","87.45"
"87.45","88.38"
"88.38","91.23"
"91.23","91.03"
"91.03","90.97"
"90.97","91.49"
"91.49","88.09"
"88.09","84.12"
"84.12","83.36"
"83.36","83.12"
"83.12","81.52"
"81.52","80.68"
"80.68","79.79"
"79.79","80.92"
"80.92","79.5"
"79.5","79.6"
"79.6","81.22"
"81.22","80.17"
"80.17","78.96"
"78.96","77.92"
"77.92","77.98"
"77.98","75.63"
"75.63","74.74"
"74.74","76.58"
"76.58","74.64"
"74.64","75.37"
"75.37","74.33"
"74.33","81.64"
"81.64","77.48"
"77.48","76.52"
"76.52","73.49"
"73.49","71.86"
"71.86","70.06"
"70.06","69.9"
"69.9","75.6"
"75.6","72.42"
"72.42","73.72"
"73.72","71.28"
"71.28","71.93"
"71.93","73.39"
"73.39","73.42"
"73.42","72.72"
"72.72","72.48"
"72.48","74.49"
"74.49","76.71"
"76.71","78.5"
"78.5","76.28"
"76.28","79.42"
"79.42","79.05"
"79.05","78.98"
"78.98","79.47"
"79.47","78.47"
"78.47","78.91"
"78.91","75.67"
"75.67","72.36"
"72.36","72.31"
"72.31","74.19"
"74.19","70.95"
"70.95","71.87"
"71.87","72.96"
"72.96","73.3"
"73.3","75.2"
"75.2","78.11"
"78.11","77.68"
"77.68","76.34"
"76.34","76.43"
"76.43","76.39"
"76.39","79.26"
"79.26","79.52"
"79.52","78.86"
"78.86","79.24"
"79.24","79.28"
"79.28","77.9"
"77.9","77.76"
"77.76","77.92"
"77.92","78.2"
"78.2","79.62"
"79.62","80.23"
"80.23","82.55"
"82.55","83.27"
"83.27","83.54"
"83.54","83.59"
"83.59","81.5"
"81.5","80.31"
"80.31","82.96"
"82.96","84.67"
"84.67","84.78"
"84.78","84.91"
"84.91","83.71"
"83.71","87.27"
"87.27","86.88"
"86.88","85.73"
"85.73","85.72"
"85.72","84.84"
"84.84","86.49"
"86.49","87.27"
"87.27","88.31"
"88.31","89.16"
"89.16","89.4"
"89.4","88.35"
"88.35","88.55"
"88.55","86.92"
"86.92","84.95"
"84.95","84.69"
"84.69","86.05"
"86.05","87.39"
"87.39","84.06"
"84.06","84.12"
"84.12","83.41"
"83.41","84.07"
"84.07","85.4"
"85.4","82.94"
"82.94","84.52"
"84.52","88.31"
"88.31","89.46"
"89.46","88.69"
"88.69","89.07"
"89.07","87.84"
"87.84","92.7"
"92.7","92.22"
"92.22","91.31"
"91.31","92.14"
"92.14","90.79"
"90.79","88.6"
"88.6","84.7"
"84.7","84.17"
"84.17","84.81"
"84.81","84.28"
"84.28","87.11"
"87.11","86.57"
"86.57","84.26"
"84.26","85.62"
"85.62","88.51"
"88.51","90.12"
"90.12","89.35"
"89.35","87.03"
"87.03","87.06"
"87.06","86.21"
"86.21","86.87"
"86.87","89.37"
"89.37","86.37"
"86.37","88.9"
"88.9","88.96"
"88.96","87.52"
"87.52","86.79"
"86.79","88.61"
"88.61","83.76"
"83.76","85.21"
"85.21","85.89"
"85.89","85.28"
"85.28","87.1"
"87.1","86.59"
"86.59","87.1"
"87.1","84.58"
"84.58","84.68"
"84.68","91.86"
"91.86","90.45"
"90.45","92.75"
"92.75","91.63"
"91.63","96.26"
"96.26","97.38"
"97.38","97.42"
"97.42","97.83"
"97.83","97.07"
"97.07","96.97"
"96.97","97.95"
"97.95","98.32"
"98.32","98.43"
"98.43","99.52"
"99.52","99.56"
"99.56","98.66"
"98.66","98.66"
"98.66","102.2"
"102.2","103.37"
"103.37","105.05"
"105.05","103.55"
"103.55","102.08"
"102.08","101.87"
"101.87","103.74"
"103.74","101.79"
"101.79","102.7"
"102.7","102.11"
"102.11","102.19"
"102.19","99.99"
"99.99","98.83"
"98.83","98.3"
"98.3","98"
"98","98.67"
"98.67","97.76"
"97.76","98.27"
"98.27","99.2"
"99.2","98.6"
"98.6","99.77"
"99.77","99.2"
