Hoje,Amanha
"64.32","61.53"
"61.53","63.57"
"63.57","63.57"
"63.57","63.62"
"63.62","63.88"
"63.88","64.19"
"64.19","63.73"
"63.73","63.37"
"63.37","64.08"
"64.08","63.77"
"63.77","64.28"
"64.28","64.7"
"64.7","65.39"
"65.39","66.43"
"66.43","64.74"
"64.74","67.09"
"67.09","66.9"
"66.9","67.04"
"67.04","68.15"
"68.15","68.14"
"68.14","68.11"
"68.11","67.58"
"67.58","69.34"
"69.34","68.85"
"68.85","69.14"
"69.14","69.75"
"69.75","69.99"
"69.99","69.75"
"69.75","70.51"
"70.51","70.84"
"70.84","70.71"
"70.71","70.2"
"70.2","70.39"
"70.39","70.7"
"70.7","71.3"
"71.3","71.05"
"71.05","71.14"
"71.14","70.15"
"70.15","70.26"
"70.26","70.85"
"70.85","70.95"
"70.95","71.58"
"71.58","71.27"
"71.27","70.61"
"70.61","69.36"
"69.36","69.68"
"69.68","70.05"
"70.05","70.1"
"70.1","70.74"
"70.74","70.67"
"70.67","70.84"
"70.84","71.38"
"71.38","71.63"
"71.63","72.26"
"72.26","71.96"
"71.96","72.3"
"72.3","72.96"
"72.96","72.74"
"72.74","73.96"
"73.96","74.34"
"74.34","73.96"
"73.96","74.27"
"74.27","74.33"
"74.33","74.35"
"74.35","75.03"
"75.03","75.2"
"75.2","75.12"
"75.12","75.48"
"75.48","75.87"
"75.87","76.65"
"76.65","76.16"
"76.16","75.7"
"75.7","75.12"
"75.12","76.06"
"76.06","75.4"
"75.4","75.99"
"75.99","76.39"
"76.39","77.11"
"77.11","77.45"
"77.45","76.91"
"76.91","77.68"
"77.68","77.52"
"77.52","77.47"
"77.47","78.05"
"78.05","78.06"
"78.06","77.96"
"77.96","78.05"
"78.05","77.9"
"77.9","78.42"
"78.42","76.68"
"76.68","77.06"
"77.06","77.76"
"77.76","78.9"
"78.9","78.91"
"78.91","76.66"
"76.66","77.53"
"77.53","77.25"
"77.25","76.41"
"76.41","76.15"
"76.15","75.7"
"75.7","75.28"
"75.28","76.17"
"76.17","76.06"
"76.06","76.22"
"76.22","78.52"
"78.52","79.96"
"79.96","81.4"
"81.4","82.48"
"82.48","81.93"
"81.93","82.37"
"82.37","82.93"
"82.93","83.35"
"83.35","84.24"
"84.24","83.02"
"83.02","82.92"
"82.92","83.81"
"83.81","84.69"
"84.69","83.82"
"83.82","83.65"
"83.65","84.25"
"84.25","83.38"
"83.38","83.56"
"83.56","83.83"
"83.83","84.55"
"84.55","85.51"
"85.51","87.79"
"87.79","87.79"
"87.79","87.44"
"87.44","87.23"
"87.23","88.38"
"88.38","89.07"
"89.07","89.77"
"89.77","90.16"
"90.16","90.08"
"90.08","90.25"
"90.25","91.5"
"91.5","90.3"
"90.3","90.92"
"90.92","90.11"
"90.11","90.65"
"90.65","90.98"
"90.98","99.11"
"99.11","98.02"
"98.02","96.65"
"96.65","94.69"
"94.69","95.38"
"95.38","95.51"
"95.51","93.7"
"93.7","95.34"
"95.34","95.22"
"95.22","96.27"
"96.27","96.3"
"96.3","94.91"
"94.91","96.63"
"96.63","94.92"
"94.92","95.53"
"95.53","96.52"
"96.52","96.66"
"96.66","95.63"
